tract_geoid,NAME,NAMELSAD,median_hh_income,poverty_rate_pct,pct_hh_zero_vehicle,pct_hh_no_internet,total_population,opportunity_index_acs
06073008351,83.51,Census Tract 83.51,149196.0,5.1,2.720114531138153,2.3622047244094486,4817,79.97778321411306
06073008352,83.52,Census Tract 83.52,133869.0,4.8,5.694305694305695,1.5984015984015985,4119,75.81221959409964
06073008353,83.53,Census Tract 83.53,151857.0,6.3,4.878048780487805,2.053915275994865,4802,77.5317661408438
06073015801,158.01,Census Tract 158.01,52212.0,16.4,18.098591549295776,5.352112676056338,3657,31.227225240053613
06073015901,159.01,Census Tract 159.01,45690.0,24.4,16.955684007707127,8.766859344894026,3751,17.914140314755276
06073015902,159.02,Census Tract 159.02,45921.0,21.7,15.852272727272727,4.090909090909091,5435,30.019174936702086
06073016000,160,Census Tract 160,100547.0,19.2,5.154639175257731,5.154639175257731,2365,51.218784950052154
06073008355,83.55,Census Tract 83.55,154000.0,4.7,3.463203463203463,3.354978354978355,3093,78.56205755935467
06073008356,83.56,Census Tract 83.56,121548.0,8.0,2.887323943661972,2.535211267605634,3950,72.17999125271841
06073008357,83.57,Census Tract 83.57,114583.0,15.9,7.0855614973262036,1.9385026737967916,4608,60.2744071934794
06073008358,83.58,Census Tract 83.58,115942.0,9.9,7.077072224915172,6.495395055744062,6522,57.83243043131548
06073008359,83.59,Census Tract 83.59,86685.0,7.9,7.20968629609246,4.017611447440837,4426,59.049529125261
06073016401,164.01,Census Tract 164.01,110076.0,8.2,5.44611819235226,1.3904982618771726,5410,69.33966529953288
06073016100,161,Census Tract 161,108175.0,7.5,0.0,6.583793738489871,6412,66.26439535040365
06073016202,162.02,Census Tract 162.02,68813.0,14.6,12.705530642750373,4.783258594917788,3923,42.553844871043054
06073016301,163.01,Census Tract 163.01,64446.0,22.9,14.220445459737293,8.509423186750428,4886,25.878608004773383
06073016302,163.02,Census Tract 163.02,56154.0,27.6,5.15695067264574,3.195067264573991,5784,39.572379748150766
06073003209,32.09,Census Tract 32.09,80436.0,3.1,3.7393767705382435,2.7195467422096318,5277,68.50167761863919
06073003211,32.11,Census Tract 32.11,96563.0,8.2,1.2181616832779625,2.436323366555925,3077,69.78936207041556
06073003212,32.12,Census Tract 32.12,103281.0,8.9,4.007633587786259,3.816793893129771,3930,64.76593376637831
06073003213,32.13,Census Tract 32.13,125164.0,6.5,0.30060120240480964,2.6052104208416833,3825,76.85014310000354
06073017107,171.07,Census Tract 171.07,199063.0,5.0,0.0,0.0,3146,95.65020479827305
06073008360,83.60,Census Tract 83.60,99122.0,7.4,6.814381270903009,0.5434782608695652,7071,68.26337325223857
06073008502,85.02,Census Tract 85.02,100387.0,16.2,5.305145592341444,6.063023534104508,6776,52.147186342229695
06073008504,85.04,Census Tract 85.04,131429.0,9.5,6.282952548330405,9.182776801405975,5896,56.84316563938169
06073008505,85.05,Census Tract 85.05,87178.0,9.2,4.4212617983109785,2.4341778440139095,5406,63.815466669771
06073016502,165.02,Census Tract 165.02,66701.0,22.5,5.277777777777778,7.341269841269842,8034,38.446617297560984
06073017104,171.04,Census Tract 171.04,136468.0,5.7,4.642857142857143,7.214285714285714,3748,66.48918815513657
06073003214,32.14,Census Tract 32.14,80762.0,5.9,1.160541586073501,16.312056737588655,4587,44.401028045921585
06073003301,33.01,Census Tract 33.01,72773.0,19.7,9.368836291913215,2.7613412228796843,3338,45.80346171336987
06073003303,33.03,Census Tract 33.03,57699.0,17.2,5.710206995003569,16.059957173447536,3969,25.672764605967863
06073003403,34.03,Census Tract 34.03,66711.0,16.9,5.513307984790875,15.494296577946768,3681,28.69199936824664
06073008506,85.06,Census Tract 85.06,118633.0,11.4,3.0592734225621414,5.035054174633524,4084,63.90072142713978
06073008507,85.07,Census Tract 85.07,87269.0,10.3,4.336349924585218,4.864253393665159,7252,58.55385156777819
06073008509,85.09,Census Tract 85.09,115600.0,6.8,7.31981981981982,5.367867867867868,6491,62.37536505216308
06073008510,85.10,Census Tract 85.10,79226.0,8.8,12.230497843982752,4.468835750686005,5732,50.700484063585805
06073008512,85.12,Census Tract 85.12,118224.0,8.9,5.817711700064641,9.114414996767938,4043,55.80182778930536
06073017108,171.08,Census Tract 171.08,165893.0,5.5,4.179471419791026,4.425322679778733,4336,77.12830521964268
06073017303,173.03,Census Tract 173.03,119558.0,5.4,0.5970149253731344,2.3880597014925375,3582,76.98312868288009
06073003404,34.04,Census Tract 34.04,75843.0,5.7,5.217391304347826,3.826086956521739,4595,61.75353071780503
06073003501,35.01,Census Tract 35.01,59974.0,22.5,12.861415752741776,10.269192422731804,3591,23.81323426274243
06073003502,35.02,Census Tract 35.02,43807.0,26.2,9.891936824605153,5.985037406483791,4655,28.622940072189852
06073003602,36.02,Census Tract 36.02,64444.0,16.8,9.642857142857144,11.190476190476192,3719,31.63528528612345
06073003603,36.03,Census Tract 36.03,63664.0,17.5,11.121951219512196,11.219512195121952,3176,29.201921697023046
06073008513,85.13,Census Tract 85.13,132500.0,5.0,0.8665511265164645,2.079722703639515,2909,79.78556780546519
06073008600,86,Census Tract 86,63924.0,11.1,6.724890829694323,6.812227074235808,6473,47.802518810469195
06073008701,87.01,Census Tract 87.01,78516.0,12.9,1.062959934587081,2.698282910874898,3320,62.14703255207654
06073008702,87.02,Census Tract 87.02,111025.0,14.8,8.741258741258742,0.5827505827505828,5220,61.31676650969039
